#Nucl_X Initial_stress Strength_excess Dc_0 Dc_Rate Seismic_Moment Ruptured_Area Rupture_velocity Stress_drop E_g E_r
1000. 0.05 0.05 0.2 0.0 0.44934E+17 0.29600E+07 0.36478E+04 0.43636E+08 0.17958E+14 0.12260E+14
1000. 0.05 0.05 0.2 0.03 0.41159E+17 0.25300E+07 0.37218E+04 0.46765E+08 0.17769E+14 0.11895E+14
1000. 0.05 0.05 0.2 0.06 0.38570E+17 0.23100E+07 0.37745E+04 0.49331E+08 0.17747E+14 0.11576E+14
1000. 0.05 0.05 0.2 0.09 0.36771E+17 0.21600E+07 0.38106E+04 0.51180E+08 0.17740E+14 0.11264E+14
1000. 0.05 0.05 0.2 0.12 0.35353E+17 0.20400E+07 0.38288E+04 0.52659E+08 0.17727E+14 0.10964E+14
1000. 0.05 0.05 0.2 0.15 0.34059E+17 0.19300E+07 0.38711E+04 0.54019E+08 0.17670E+14 0.10685E+14
1000. 0.05 0.05 0.3 0.0 0.33032E+17 0.19100E+07 0.37524E+04 0.54162E+08 0.18282E+14 0.92907E+13
1000. 0.05 0.05 0.3 0.03 0.31598E+17 0.17900E+07 0.37779E+04 0.55993E+08 0.18199E+14 0.90679E+13
1000. 0.05 0.05 0.3 0.06 0.30342E+17 0.16800E+07 0.38334E+04 0.57883E+08 0.18199E+14 0.88679E+13
1000. 0.05 0.05 0.3 0.09 0.29348E+17 0.16400E+07 0.38559E+04 0.59512E+08 0.18243E+14 0.86738E+13
1000. 0.05 0.05 0.3 0.12 0.28576E+17 0.15700E+07 0.38778E+04 0.60780E+08 0.18288E+14 0.84790E+13
1000. 0.05 0.05 0.3 0.15 0.27902E+17 0.15100E+07 0.39200E+04 0.61787E+08 0.18281E+14 0.82890E+13
1000. 0.05 0.05 0.4 0.0 0.26819E+17 0.14700E+07 0.38021E+04 0.62510E+08 0.18798E+14 0.70383E+13
1000. 0.05 0.05 0.4 0.03 0.26199E+17 0.14100E+07 0.38087E+04 0.63454E+08 0.18756E+14 0.68653E+13
1000. 0.05 0.05 0.4 0.06 0.25662E+17 0.13700E+07 0.38383E+04 0.64278E+08 0.18728E+14 0.66930E+13
1000. 0.05 0.05 0.4 0.09 0.25174E+17 0.13600E+07 0.38434E+04 0.65019E+08 0.18703E+14 0.65228E+13
1000. 0.05 0.05 0.4 0.12 0.24686E+17 0.13400E+07 0.38525E+04 0.65827E+08 0.18680E+14 0.63641E+13
1000. 0.05 0.05 0.4 0.15 0.24239E+17 0.12900E+07 0.38896E+04 0.66544E+08 0.18650E+14 0.62078E+13
1000. 0.05 0.05 0.5 0.0 0.22996E+17 0.12200E+07 0.38548E+04 0.67737E+08 0.18914E+14 0.50925E+13
1000. 0.05 0.05 0.5 0.03 0.22603E+17 0.12200E+07 0.38767E+04 0.68304E+08 0.18838E+14 0.49552E+13
1000. 0.05 0.05 0.5 0.06 0.22244E+17 0.11700E+07 0.38964E+04 0.68794E+08 0.18763E+14 0.48208E+13
1000. 0.05 0.05 0.5 0.09 0.21916E+17 0.11600E+07 0.39199E+04 0.69160E+08 0.18672E+14 0.46883E+13
1000. 0.05 0.05 0.5 0.12 0.21603E+17 0.11400E+07 0.39168E+04 0.69497E+08 0.18581E+14 0.45579E+13
1000. 0.05 0.05 0.5 0.15 0.21305E+17 0.11400E+07 0.39643E+04 0.69819E+08 0.18494E+14 0.44311E+13
1000. 0.05 0.07 0.1 0.0 0.90293E+18 0.73990E+08 0.25925E+04 0.77557E+07 0.72670E+14 0.35256E+14
1000. 0.05 0.07 0.1 0.03 0.70014E+17 0.43100E+07 0.35570E+04 0.43942E+08 0.23464E+14 0.23951E+14
1000. 0.05 0.07 0.1 0.06 0.61539E+17 0.33700E+07 0.36404E+04 0.49050E+08 0.23375E+14 0.23145E+14
1000. 0.05 0.07 0.1 0.09 0.56613E+17 0.29400E+07 0.37197E+04 0.52818E+08 0.23588E+14 0.22496E+14
1000. 0.05 0.07 0.1 0.12 0.53595E+17 0.26600E+07 0.37708E+04 0.55023E+08 0.23577E+14 0.21871E+14
